NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
363792,2017,681,S,12,43074,43206,140,,,
371370,2017,681,S,12,8/9/2017,12/22/2017,140,,,
404708,2017,68,S,12,8/9/2017,10/4/2017,140,,,
301270,2018,61,I,11,8/23/2018,11/16/2018,140,,,
302142,2018,25,,12,8/8/2018,8/10/2018,140,,,
303955,2018,21,,10,8/8/2018,2/21/2019,140,,,
305759,2018,61,I,12,10/29/2018,12/21/2018,140,,,
306470,2018,68,,12,8/8/2018,9/10/2018,140,,,
307333,2017,61,I,9,1/17/2018,3/9/2018,140,I,,
308062,2017,23,S,11,8/9/2017,5/7/2018,140,,,
312239,2017,37,,7,8/9/2017,9/15/2017,140,,,
314075,2018,25,,12,8/8/2018,8/10/2018,140,,,
314733,2018,20,,10,8/8/2018,8/10/2018,140,,,
317043,2017,22,,9,10/12/2017,12/14/2017,140,,,
317531,2017,27,,11,8/9/2017,5/24/2018,140,,,
318871,2018,20,,11,8/8/2018,8/15/2018,140,,,
321723,2018,23,,10,8/8/2018,8/10/2018,140,,,
322059,2018,61,I,7,12/7/2018,3/8/2019,140,,,
323633,2017,271,I,11,9/7/2017,2/2/2018,140,,,
325112,2017,68,,11,8/9/2017,4/26/2018,140,I,,
327583,2017,35,,7,9/1/2017,2/1/2018,140,,,
328185,2017,68,,11,1/8/2018,3/9/2018,140,,,
331981,2018,20,,10,8/8/2018,9/25/2018,140,,,
332274,2017,271,I,11,8/9/2017,10/27/2017,140,,,
332345,2017,35,,8,8/9/2017,4/13/2018,140,,,
334888,2017,23,,11,9/1/2017,4/4/2018,140,,,
335500,2017,31,,7,8/9/2017,5/4/2018,140,,,
337008,2018,20,,12,8/8/2018,8/16/2018,140,,,
338952,2018,23,,12,8/8/2018,8/10/2018,140,,,
339345,2017,31,,7,8/9/2017,5/24/2018,140,,,
339686,2017,23,,11,8/9/2017,11/28/2017,140,,,
341459,2018,23,,11,8/8/2018,8/10/2018,140,,,
345731,2017,22,,10,8/9/2017,12/13/2017,140,,,
346829,2017,40,,7,8/9/2017,12/8/2017,140,,,
346927,2018,20,,11,8/8/2018,8/15/2018,140,I,,3.07E+13
347016,2017,24,S,10,8/17/2017,9/8/2017,140,,,
347259,2017,271,I,10,8/9/2017,3/9/2018,140,I,,3.07E+13
348065,2017,32,,7,8/9/2017,8/11/2017,140,,,
351482,2017,38,,7,3/6/2018,5/10/2018,140,,,
351773,2017,22,,11,9/18/2017,4/16/2018,140,,,
352273,2017,24,,11,8/9/2017,2/8/2018,140,,,
356571,2017,27,,11,8/9/2017,3/26/2018,140,,,
357359,2018,61,I,8,12/7/2018,3/8/2019,140,,,
357727,2017,251,I,10,4/2/2018,4/20/2018,140,O,,
359220,2018,68,,12,8/8/2018,5/7/2019,140,,,
359875,2018,25,,10,8/8/2018,8/16/2018,140,,,
361445,2017,32,,8,10/19/2017,3/20/2018,140,I,,
361555,2018,20,,11,8/8/2018,8/15/2018,140,,,
364052,2017,68,,10,8/9/2017,9/21/2017,140,,,
365357,2018,271,I,11,11/28/2018,4/10/2019,140,,,
366007,2017,35,,7,8/9/2017,5/24/2018,140,,,
368112,2018,20,,10,8/8/2018,8/10/2018,140,,,
372804,2018,23,,12,8/8/2018,1/14/2019,140,,,
373020,2017,20,,11,11/7/2017,1/18/2018,140,,,
374495,2018,61,I,8,11/28/2018,12/21/2018,140,,,
376234,2018,61,I,11,8/8/2018,10/1/2018,140,,,
376991,2017,61,I,10,8/9/2017,1/9/2018,140,,,
377489,2017,24,,10,8/9/2017,8/15/2017,140,,,
379136,2017,271,I,10,8/17/2017,9/7/2017,140,,,
383157,2017,20,,10,8/9/2017,5/4/2018,140,,,
383420,2018,23,,12,8/8/2018,8/10/2018,140,,,
384116,2017,27,,10,8/9/2017,8/29/2017,140,I,,3.07E+13
384752,2017,251,I,10,10/16/2017,1/25/2018,140,,,
385381,2017,61,I,9,2/26/2018,3/30/2018,140,,,
385590,2017,37,,8,8/9/2017,8/10/2017,140,,,
386841,2018,21,,11,8/8/2018,8/31/2018,140,I,,
386960,2017,251,I,11,4/4/2018,4/11/2018,140,,,
389687,2017,23,,11,8/9/2017,1/8/2018,140,,,
390631,2017,20,,11,8/9/2017,2/6/2018,140,,,
392757,2017,31,,7,8/9/2017,5/24/2018,140,,,
395956,2018,68,,11,8/27/2018,12/12/2018,140,,,
402434,2017,35,,7,8/9/2017,5/24/2018,140,,,
404724,2017,251,I,11,10/16/2017,3/9/2018,140,,,
414511,2017,31,,8,1/30/2018,3/21/2018,140,,,
416559,2017,271,I,11,8/24/2017,10/25/2017,140,,,
418029,2018,25,,11,8/8/2018,8/10/2018,140,,,
419586,2018,24,S,9,8/8/2018,9/28/2018,140,S,,
420004,2017,251,I,11,10/4/2017,3/26/2018,140,,,
422880,2017,22,S,9,8/9/2017,11/27/2017,140,O,,
423902,2017,271,I,11,8/29/2017,10/27/2017,140,,,
436652,2017,61,I,11,10/3/2017,2/2/2018,140,,,
438357,2017,27,,11,8/23/2017,11/27/2017,140,,,
