NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
300265,2017,27,,12,42956,43244,230,,,
300456,2017,28,,12,42956,43244,230,,,
301428,2017,23,,12,42956,43244,230,,,
303962,2017,27,,12,42956,43244,230,,,
304281,2017,28,,12,42956,43244,230,,,
304440,2017,24,S,12,42956,43244,230,,,
304473,2017,25,,12,42956,43244,230,,,
305376,2017,27,,12,42956,43244,230,,,
305731,2017,28,,12,42956,43244,230,,,
305735,2017,42,,12,42956,43244,230,,,
305820,2017,20,,12,42956,43244,230,,,
306439,2017,27,,12,42956,43244,230,,,
306901,2017,27,,12,42956,43244,230,,,
308020,2017,27,,12,42956,43244,230,,,
308577,2017,22,,12,42956,43244,230,1,,3.07E+11
309368,2017,20,,12,42956,43244,230,,,
309975,2017,21,,12,42956,43244,230,,,
310049,2017,42,,12,42956,43244,230,,,
310444,2017,42,,12,42956,43244,230,,,
310569,2017,28,,12,42956,43244,230,,,
311603,2017,42,,12,42956,43244,230,,,
312305,2017,28,,12,42956,43244,230,,,
312370,2017,42,,12,42956,43244,230,,,
312782,2017,23,,12,42956,43244,230,,,
313310,2017,42,,12,42956,43244,230,,,
315190,2017,22,S,12,42956,43244,230,,,
315454,2017,20,,12,42956,43244,230,,,
315469,2017,20,,12,42956,43244,230,,,
315679,2017,20,,12,42956,43244,230,,,
316364,2017,22,S,12,42956,43244,230,,,
317058,2017,42,,12,42956,43244,230,,,
317985,2017,28,S,12,42956,43244,230,,,
318048,2017,24,S,12,42956,43244,230,O,,3.07E+13
318050,2017,24,,12,42956,43244,230,,,
318060,2017,20,,12,42956,43244,230,,,
318351,2017,27,,12,42956,43244,230,,,
318629,2017,28,,12,42956,43244,230,,,
319031,2017,42,,12,42956,43244,230,,,
319453,2017,20,S,12,42956,43244,230,,,
319835,2017,28,S,12,42956,43244,230,,,
320188,2017,22,,12,42956,43244,230,,,
320192,2017,22,,12,42956,43244,230,,,
320405,2017,23,,12,42956,43244,230,,,
321203,2017,27,,12,42956,43244,230,,,
321920,2017,27,,12,42956,43244,230,I,,23
321953,2017,22,S,12,42956,43244,230,,,
322186,2017,24,S,12,42956,43244,230,,,
322238,2017,28,,12,42956,43244,230,,,
322785,2017,28,,12,42956,43244,230,,,
323357,2017,27,,12,42956,43244,230,,,
323728,2017,22,,12,43108,43244,230,,,
323897,2017,27,,12,42956,43244,230,O,,3.07E+13
323913,2017,42,,12,42956,43244,230,,,
324264,2017,28,,12,42956,43244,230,,,
324266,2017,28,,12,42956,43244,230,I,,
325343,2017,27,,12,42956,43244,230,,,
325735,2017,20,,12,42956,43244,230,,,
325901,2017,27,S,12,42956,43244,230,6,,3.07E+13
326036,2017,25,,12,42956,43244,230,O,,
326300,2017,24,,12,42956,43244,230,,,
327224,2017,27,,12,42956,43244,230,,,
327741,2017,27,,12,42956,43244,230,,,
