NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
302697,2018,27,,11,43320,43339,410,1,,1.97E+13
307736,2017,23,,11,42956,43091,410,,,
334735,2018,47,S,14,43320,43440,410,,,
366389,2018,23,,9,43320,43339,410,,,
381028,2018,21,,10,43531,43553,410,,,
385499,2018,28,,10,43320,43374,410,,,
392679,2018,25,,12,43320,43399,410,,,
406886,2017,251,I,9,42963,42979,410,,,
408457,2017,27,,9,42956,43230,410,,,
408457,2018,27,,10,43482,43510,410,,,
410765,2017,68,,11,42956,43145,410,,,
425945,2017,251,I,11,43192,43209,410,,,
428278,2017,47,S,11,42956,43189,410,,,
458380,2018,47,S,14,43320,43518,410,,,
