NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
443308,2017,68,,12,42956,43013,200,,,
300008,2017,22,,11,42956,42986,200,,,
300493,2018,35,,8,43320,43608,200,,,
300681,2017,40,,7,42956,43083,200,,,
300706,2018,40,,8,43320,43322,200,,,
301540,2018,23,,9,43336,43475,200,,,
301677,2018,32,,7,43356,43523,200,,,
301843,2018,35,,8,43320,43608,200,,,
301999,2017,40,,8,42956,43091,200,,,
302498,2017,27,,10,42956,43200,200,,,
303810,2017,23,,9,42956,43129,200,,,
303827,2018,32,,8,43320,43455,200,,,
303987,2017,25,,9,42956,43231,200,,,
304133,2018,27,,9,43320,43347,200,O,,3.07E+13
304540,2018,38,,8,43320,43496,200,,,
304637,2018,24,,11,43320,43455,200,,,
304847,2018,23,,10,43320,43608,200,,,
305457,2018,37,,7,43320,43420,200,,,
305465,2017,23,,10,42956,43012,200,,,
306423,2017,37,,7,42961,42979,200,1,,3.07E+13
307099,2018,22,,10,43320,43413,200,,,
307106,2017,31,,7,42956,43244,200,,,
307599,2018,22,,10,43320,43420,200,,,
307616,2018,24,,9,43413,43483,200,,,
308064,2017,37,,8,42956,43007,200,,,
308378,2018,34,,8,43320,43432,200,,,
309041,2018,27,,10,43320,43374,200,,,
309409,2017,23,,9,42956,43244,200,,,
309489,2017,23,,9,42956,43216,200,,,
309805,2017,23,,11,42956,43189,200,,,
310289,2018,24,,11,43320,43608,200,,,
310293,2018,25,,11,43399,43399,200,,,
311053,2018,38,,8,43320,43389,200,,,
311561,2018,28,,10,43384,43391,200,,,
311761,2017,31,,7,43045,43108,200,,,
311974,2018,35,,8,43320,43392,200,,,
311986,2018,23,,9,43320,43552,200,O,,3.07E+13
312011,2018,24,,12,43488,43496,200,,,
312237,2018,20,,11,43320,43385,200,,,
313270,2018,24,,10,43353,43398,200,,,
313534,2017,25,,10,42956,43244,200,I,,
314134,2017,38,,8,42956,43038,200,,,
314561,2017,35,,7,42956,43244,200,,,
314561,2018,35,,8,43320,43347,200,,,
314985,2018,68,,12,43320,43546,200,I,,
315063,2018,44,S,7,43530,43584,200,,,
315068,2018,22,,10,43320,43525,200,,,
315277,2018,25,,9,43320,43581,200,,,
315699,2017,31,,8,42956,43145,200,,,
316000,2017,34,,8,42956,42983,200,,,
316214,2017,38,,8,42956,42979,200,,,
316238,2017,38,,8,42956,43056,200,,,
316278,2017,27,,9,42956,43244,200,1,,3.07E+13
316723,2018,44,,8,43320,43455,200,,,
316874,2018,20,,9,43320,43355,200,,,
318013,2017,21,,9,42957,43178,200,I,,
318536,2018,24,,12,43320,43356,200,,,
318606,2018,44,,7,43335,43350,200,,,
319197,2017,22,,10,42957,43224,200,,,
319262,2017,32,,8,42956,42998,200,,,
319537,2017,31,,8,42956,43019,200,I,,
319861,2017,25,,10,43074,43200,200,,,
320175,2017,40,,7,42956,43091,200,,,
320368,2018,27,,11,43320,43455,200,1,,3.07E+13
320450,2017,27,,9,42956,43244,200,,,
320609,2017,27,,10,42956,43068,200,,,
321323,2018,24,,9,43410,43608,200,I,,3.07E+13
321436,2018,25,,9,43320,43608,200,,,
321926,2017,24,,11,42956,43244,200,,,
322056,2018,23,,11,43320,43339,200,,,
322502,2018,21,,9,43320,43608,200,,,
322581,2018,24,,9,43320,43434,200,,,
323073,2018,44,,8,43320,43523,200,,,
323113,2017,23,,11,42956,43160,200,,,
323818,2017,31,,8,42956,43091,200,,,
323949,2018,22,,10,43432,43565,200,,,
323959,2018,24,,10,43417,43496,200,,,
325217,2017,22,,9,42956,42996,200,,,
325691,2018,37,,8,43320,43370,200,,,
326669,2018,23,,10,43320,43552,200,,,
326865,2018,68,,11,43320,43550,200,,,
326896,2018,68,,12,43500,43573,200,,,
327005,2018,38,,8,43320,43496,200,,,
327019,2017,27,,11,42956,42963,200,O,,3.07E+13
327073,2018,44,,7,43320,43371,200,,,
327222,2017,32,,8,42992,43024,200,,,
327236,2017,68,S,11,42962,43157,200,,,
327281,2017,34,,7,42956,43070,200,O,,3.07E+13
327329,2018,28,S,10,43320,43483,200,,,
327816,2018,22,,11,43320,43413,200,1,,1.96E+13
328027,2018,24,,10,43320,43389,200,,,
328146,2017,27,,10,42956,43244,200,I,,3.07E+13
328248,2017,35,,8,42985,43003,200,,,
329025,2018,21,,9,43320,43532,200,,,
329329,2017,20,,11,43053,43070,200,,,
329468,2018,23,S,10,43320,43608,200,,,
329757,2018,44,,8,43417,43570,200,,,
329862,2017,22,,10,42956,43091,200,,,
329912,2018,23,,9,43322,43608,200,,,
330647,2018,37,,8,43320,43343,200,,,
331183,2018,22,,10,43320,43608,200,,,
331957,2018,38,,8,43320,43355,200,,,
332030,2017,27,,10,42956,43133,200,,,
332243,2018,20,,11,43320,43342,200,,,
332298,2018,23,,10,43320,43608,200,,,
332999,2018,35,,7,43320,43343,200,,,
333524,2017,24,,10,42956,43091,200,,,
333962,2017,28,,11,42956,43084,200,,,
334001,2017,24,,10,43083,43244,200,,,
334106,2018,22,,9,43320,43581,200,,,
334226,2017,24,,11,42956,43052,200,,,
334323,2018,27,,11,43320,43608,200,,,
335596,2018,21,,9,43320,43402,200,1,,3.07E+13
336308,2017,21,,9,42956,43028,200,,,
336505,2017,25,,11,43109,43133,200,,,
336564,2017,24,S,11,42963,43039,200,,,
336564,2018,68,S,12,43320,43375,200,,,
336762,2018,25,,11,43516,43581,200,,,
336820,2017,27,,10,42956,43244,200,,,
336863,2017,38,S,8,42956,43194,200,I,,
336974,2017,68,,11,43194,43217,200,,,
337067,2018,32,,7,43320,43384,200,,,
337101,2017,37,,7,42956,43047,200,,,
337817,2017,20,,11,43011,43129,200,,,
339851,2017,24,,9,42956,43112,200,,,
340299,2017,35,,7,42956,43056,200,,,
340566,2018,20,,10,43320,43502,200,,,
340832,2017,27,,11,42956,43091,200,,,
341159,2017,28,,9,42956,43167,200,,,
341637,2017,25,,11,42956,42964,200,I,,
341904,2018,40,,7,43320,43355,200,,,
342290,2018,61,I,12,43320,43453,200,,,
342370,2017,35,,8,42971,43161,200,,,
342397,2017,35,,7,42956,43244,200,,,
343244,2017,23,,9,42956,43231,200,,,
343574,2017,21,S,11,43028,43244,200,,,
344029,2018,25,,10,43320,43455,200,,,
344505,2018,20,,12,43320,43483,200,,,
344896,2017,22,,11,42956,42979,200,,,
345037,2017,251,I,11,42971,43006,200,,,
345043,2017,40,,7,42956,42999,200,,,
345316,2018,28,,9,43320,43334,200,,,
345678,2017,40,,8,43039,43244,200,,,
345884,2018,25,,11,43320,43601,200,,,
346025,2018,25,,10,43399,43399,200,,,
346661,2018,34,,7,43320,43453,200,,,
347234,2017,23,,9,42956,43185,200,,,
347570,2017,23,,9,42956,43147,200,,,
347574,2018,20,,9,43320,43523,200,,,
347807,2017,40,,7,42956,43215,200,,,
347847,2018,25,,10,43516,43581,200,,,
348034,2017,20,,11,42956,43091,200,,,
348064,2017,34,,8,42956,43028,200,,,
348577,2017,20,,10,42956,43070,200,1,,1.96E+13
349510,2017,38,,7,42956,43108,200,,,
350065,2017,35,,8,42956,43042,200,,,
350208,2017,22,,9,42956,42985,200,,,
350302,2018,22,,11,43320,43515,200,,,
350833,2018,21,,10,43320,43430,200,,,
350856,2017,35,S,7,42956,43244,200,,,
350974,2017,35,,8,42956,43244,200,,,
351168,2018,37,,7,43320,43579,200,,,
351213,2017,35,,8,42971,43161,200,,,
351398,2018,35,,7,43320,43455,200,,,
351444,2018,22,,10,43328,43495,200,,,
352421,2018,23,,10,43320,43608,200,,,
352782,2018,35,,8,43320,43350,200,,,
352916,2018,34,,8,43333,43439,200,,,
353140,2018,35,,8,43320,43567,200,,,
353466,2017,22,,11,42956,42979,200,,,
353695,2018,22,,10,43320,43546,200,,,
354726,2017,24,,11,42956,43033,200,,,
354987,2018,32,,8,43320,43406,200,,,
355098,2018,44,,8,43320,43320,200,,,
356980,2018,21,,11,43325,43420,200,,,
357491,2017,38,,7,42956,43213,200,,,
357775,2018,31,,7,43320,43347,200,,,
358100,2017,27,,10,42956,43091,200,,,
358250,2018,23,,10,43320,43480,200,I,,
358402,2018,44,,8,43320,43364,200,,,
358455,2018,21,,11,43339,43385,200,I,,
358764,2018,44,,7,43320,43395,200,,,
358827,2018,22,,10,43326,43608,200,,,
359339,2017,24,,9,43164,43189,200,,,
359528,2017,35,,7,42978,42992,200,,,
359926,2017,40,,7,42956,43182,200,,,
360354,2017,35,,7,42956,43056,200,,,
361043,2018,22,,11,43320,43322,200,,,
361092,2017,38,,8,42956,43056,200,I,,
361226,2018,37,,8,43320,43570,200,,,
361373,2018,23,,10,43320,43437,200,,,
361407,2017,27,,10,42956,43011,200,I,,3.07E+13
361465,2018,24,S,9,43320,43399,200,I,,3.07E+13
361910,2017,22,,11,42968,42978,200,,,
362131,2018,44,,7,43332,43608,200,,,
362596,2018,38,,8,43320,43327,200,O,,3.07E+13
362768,2017,21,,10,42956,43244,200,I,,
362777,2018,23,,11,43320,43480,200,,,
362848,2018,271,I,10,43326,43482,200,,,
363414,2018,22,,9,43320,43608,200,,,
363484,2018,28,,11,43320,43493,200,,,
363560,2017,44,,7,42956,43034,200,,,
363647,2017,44,,8,42956,43159,200,,,
363668,2018,28,,11,43320,43503,200,6,,3.07E+13
363869,2018,25,,10,43320,43483,200,,,
364370,2018,21,,11,43320,43608,200,,,
364485,2018,23,,10,43320,43608,200,,,
365011,2018,23,,9,43320,43374,200,,,
365080,2017,31,,8,42956,42964,200,,,
365122,2017,44,,8,42956,42996,200,,,
365384,2017,38,,7,42956,43034,200,,,
365458,2018,24,,12,43320,43398,200,I,,3.07E+13
365890,2018,35,,8,43320,43474,200,,,
366904,2017,20,,9,43055,43123,200,,,
366904,2018,25,,10,43320,43608,200,,,
367438,2017,28,,11,43003,43073,200,,,
367532,2017,61,I,10,43018,43244,200,,,
367563,2017,22,,11,42956,42975,200,,,
368531,2018,27,,9,43340,43388,200,,,
369092,2017,40,,7,42956,43005,200,,,
370035,2017,20,,11,42956,43000,200,,,
370426,2017,25,,11,42956,43083,200,,,
370639,2017,40,,8,42956,42977,200,,,
370920,2018,35,,8,43320,43406,200,,,
371204,2018,35,S,7,43320,43567,200,,,
372170,2018,21,,9,43320,43550,200,,,
372931,2017,23,,10,42983,43075,200,,,
372960,2018,31,,8,43368,43402,200,I,,3.07E+13
373002,2017,35,,7,42956,43244,200,,,
373446,2017,27,,10,42956,43080,200,,,
374184,2017,22,,9,42956,42979,200,,,
374248,2017,21,,9,42956,43042,200,,,
374472,2018,31,,8,43320,43496,200,,,
374671,2018,38,,8,43320,43412,200,,,
374774,2017,28,,9,42956,43091,200,,,
374780,2017,23,,11,42963,43000,200,,,
374798,2018,24,,10,43320,43480,200,I,,3.07E+13
375303,2017,34,,7,42956,43091,200,,,
375564,2018,20,,11,43320,43328,200,,,
375633,2018,21,,9,43320,43420,200,,,
376327,2017,24,,9,42956,42991,200,,,
376552,2017,38,,7,42956,43133,200,,,
376756,2017,20,,11,42983,43244,200,,,
377208,2018,28,S,11,43341,43446,200,,,
377760,2017,23,,10,42956,43033,200,,,
377804,2018,38,,8,43320,43342,200,,,
378243,2017,20,,11,42956,43056,200,,,
378414,2017,38,,8,42956,43091,200,,,
378690,2017,20,,10,42956,43076,200,,,
379343,2018,23,,9,43320,43371,200,,,
379356,2018,23,,10,43320,43396,200,,,
379399,2017,25,,10,42956,43013,200,,,
379808,2017,22,,11,42956,43159,200,,,
380620,2017,251,I,9,43010,43073,200,,,
380746,2018,251,I,11,43347,43367,200,,,
380746,2018,251,I,11,43409,43510,200,,,
381105,2017,32,,7,42956,42990,200,,,
382099,2017,37,,8,42956,43056,200,,,
382737,2018,28,,11,43320,43364,200,,,
384028,2017,22,,9,42956,42979,200,,,
384183,2018,31,,7,43368,43402,200,I,,3.07E+13
384236,2017,27,,10,42956,43136,200,,,
384254,2018,23,,9,43339,43397,200,,,
384494,2018,22,,10,43320,43405,200,,,3.07E+13
384981,2018,20,,9,43320,43472,200,,,
385206,2017,23,,9,42975,43055,200,,,
385914,2017,21,,9,42991,43018,200,,,
385990,2017,44,,7,42956,43244,200,,,
386158,2017,24,,9,42956,43038,200,,,
386217,2017,37,,7,42956,43112,200,,,
386559,2018,20,,10,43320,43343,200,,,
386588,2017,28,,11,42956,43244,200,1,,1.96E+11
387334,2017,35,,7,42956,43244,200,,,
387446,2018,22,,11,43320,43396,200,,,
387618,2017,35,S,8,43122,43244,200,,,
387635,2018,31,,7,43320,43378,200,,,
388199,2018,24,,11,43320,43368,200,O,,
388645,2017,24,,10,42956,43244,200,,,
388751,2018,21,,9,43320,43490,200,,,
388849,2017,35,,7,42956,43244,200,,,
389503,2018,28,,11,43320,43481,200,,,
