NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
300412,2017,25,,11,42956,NULL,,I,,
300413,2018,38,,7,43320,NULL,,I,,
300415,2018,25,,9,43320,NULL,,O,,3.07E+13
300419,2017,24,,11,42956,NULL,,,,
300420,2017,44,,7,42956,NULL,,,,
300422,2017,28,,9,42956,NULL,,,,
300422,2018,28,,10,43320,NULL,,,,
300423,2017,21,S,14,42956,NULL,,,,
300423,2018,21,S,14,43320,NULL,,,,
300430,2018,20,,9,43320,NULL,,,,
300433,2018,27,,9,43320,NULL,,,,
300437,2017,44,,7,42956,NULL,,,,
300440,2018,32,,7,43320,NULL,,,,
300442,2018,27,,9,43320,NULL,,,,
300445,2017,34,,7,42956,NULL,,,,
300450,2017,27,,10,42956,NULL,,,,
300450,2018,27,,11,43320,NULL,,,,
300452,2018,25,,9,43320,NULL,,,,
300456,2017,421,C,12,42956,NULL,,,,
300464,2018,22,,9,43371,NULL,,I,,3.07E+13
300473,2017,20,,10,42956,NULL,,,,
300473,2018,20,,11,43320,NULL,,,,
300488,2017,25,,11,42956,NULL,,O,,
300492,2017,34,,7,42956,NULL,,,,
300493,2017,35,,7,42956,NULL,,,,
300498,2018,44,,7,43320,NULL,,,,
300501,2018,32,,7,43320,NULL,,,,
300502,2018,35,S,7,43320,NULL,,,,
300503,2018,35,,7,43320,NULL,,,,
300504,2017,27,,10,42956,NULL,,,,
300504,2018,27,,11,43320,NULL,,,,
300521,2017,37,,7,42956,NULL,,,,
300523,2017,44,,7,42956,NULL,,,,
300540,2017,40,,7,42956,NULL,,,,
300553,2017,28,,11,42956,NULL,,,,
300555,2017,40,,7,42956,NULL,,,,
300559,2017,25,,10,42956,NULL,,,,
300559,2018,25,,11,43320,NULL,,,,
300564,2018,35,,7,43320,NULL,,,,
300568,2018,35,,7,43320,NULL,,,,
300569,2018,22,,9,43347,NULL,,,,
300570,2018,20,,9,43320,NULL,,O,,3.07E+13
300571,2018,21,,9,43320,NULL,,,,
300575,2017,24,,9,42956,NULL,,,,
300575,2018,24,,10,43320,NULL,,,,
300579,2017,22,,11,42956,NULL,,,,
300583,2017,31,S,7,42969,NULL,,I,,
300585,2017,32,,7,42956,NULL,,,,
300590,2017,20,,9,42956,NULL,,,,
300590,2018,20,,10,43320,NULL,,,,
300593,2018,25,,9,43320,NULL,,,,
300594,2017,24,,10,42956,NULL,,,,
300594,2018,24,,11,43320,NULL,,,,
300596,2017,31,,7,42956,NULL,,,,
300600,2017,28,,10,42956,NULL,,,,
300600,2018,28,,11,43320,NULL,,,,
300603,2018,31,,7,43320,NULL,,I,,3.07E+13
300611,2017,38,,7,42956,NULL,,,,
300612,2017,24,S,9,42956,NULL,,,,
300612,2018,24,S,10,43320,NULL,,,,
300617,2017,20,,9,42956,NULL,,O,,
300617,2018,20,,10,43320,NULL,,O,,
300618,2017,22,,10,42956,NULL,,,,
300618,2018,22,,11,43320,NULL,,,,
300624,2017,25,,11,42956,NULL,,,,
300625,2017,20,,11,42956,NULL,,,,
300635,2017,31,,7,42956,NULL,,,,
300642,2017,22,,11,42956,NULL,,,,
300643,2017,23,,11,42956,NULL,,,,
300645,2017,23,,11,42956,NULL,,O,,
300647,2017,28,,9,42956,NULL,,,,
300647,2018,28,,10,43320,NULL,,,,
300649,2017,20,,9,42956,NULL,,,,
300649,2018,20,,10,43320,NULL,,,,
300650,2017,22,,11,42956,NULL,,,,
300655,2017,23,,11,42956,NULL,,,,
300664,2017,34,,7,42976,NULL,,1,,3.37E+11
300666,2018,21,,9,43320,NULL,,,,
300667,2017,20,,10,43133,NULL,,,,
300667,2018,20,,11,43320,NULL,,,,
300669,2018,23,,9,43320,NULL,,,,
300671,2017,28,,10,42956,NULL,,,,
300671,2018,28,,11,43320,NULL,,,,
300673,2017,34,,7,42956,NULL,,O,,3.07E+13
300673,2018,34,,8,43320,NULL,,1,,3.07E+13
300674,2018,37,S,7,43320,NULL,,,,
300678,2017,28,,9,42956,NULL,,,,
