NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
303104,2017,68,,12,42956,43168,165,I,,
387643,2017,68,S,12,8/9/2017,10/18/2017,165,I,,
387643,2017,681,S,12,1/10/2018,3/21/2018,165,I,,
409740,2017,68,,12,10/3/2017,12/18/2017,165,,,
300152,2018,22,,10,9/17/2018,11/6/2018,165,,,
300842,2018,24,,9,8/8/2018,12/21/2018,165,,,
301128,2017,38,,8,8/9/2017,9/8/2017,165,,,
301187,2018,24,,10,1/7/2019,1/16/2019,165,I,,
301543,2018,24,S,12,8/8/2018,12/13/2018,165,,,
302235,2017,38,S,8,8/9/2017,10/27/2017,165,,,
302235,2018,22,S,9,9/21/2018,10/22/2018,165,,,
302235,2018,22,S,9,1/24/2019,2/21/2019,165,,,
303104,2018,23,,12,8/14/2018,9/12/2018,165,I,,
303707,2018,40,,8,8/8/2018,12/4/2018,165,,,
304436,2018,28,,9,8/8/2018,5/16/2019,165,,,
304949,2017,37,,8,8/9/2017,10/5/2017,165,,,
304949,2017,38,H,8,10/23/2017,11/14/2017,165,I,,
305151,2018,27,,11,8/8/2018,11/28/2018,165,,,
305192,2017,35,,7,11/30/2017,12/19/2017,165,I,,
305261,2017,25,,10,8/9/2017,8/14/2017,165,,,
305447,2018,22,,10,8/8/2018,2/7/2019,165,,,
306387,2017,35,,8,8/9/2017,11/29/2017,165,,,
307003,2018,32,,8,8/8/2018,3/6/2019,165,,,
307644,2018,21,,11,8/9/2018,8/31/2018,165,,,
307803,2017,34,,8,11/16/2017,12/18/2017,165,I,,
308289,2017,25,,11,8/9/2017,10/12/2017,165,,,
308289,2017,25,,11,11/30/2017,2/7/2018,165,,,
308307,2018,68,,11,8/8/2018,10/2/2018,165,,,
308307,2018,68,,11,12/3/2018,3/8/2019,165,,,
310178,2018,22,,10,8/16/2018,12/4/2018,165,,,
312297,2018,21,,10,1/16/2019,3/19/2019,165,,,
312842,2018,44,,8,8/8/2018,5/3/2019,165,O,,3.07E+13
314117,2017,27,,10,8/9/2017,11/14/2017,165,,,
314154,2018,21,,10,9/12/2018,3/8/2019,165,,,
315312,2018,25,,12,8/8/2018,2/5/2019,165,,,
315805,2017,24,,9,8/9/2017,11/9/2017,165,,,
315960,2018,27,C,10,8/27/2018,1/17/2019,165,,,
316097,2018,20,,9,8/22/2018,9/6/2018,165,,,
316404,2017,24,,10,8/9/2017,4/20/2018,165,,,
318234,2018,35,,8,8/8/2018,12/13/2018,165,,,3.07E+13
320336,2018,21,,12,1/18/2019,1/23/2019,165,,,
320677,2017,24,,10,8/9/2017,1/11/2018,165,,,
320845,2018,23,,10,8/8/2018,3/6/2019,165,,,
322515,2017,24,,9,8/9/2017,3/9/2018,165,I,,
323227,2018,35,S,8,11/5/2018,11/27/2018,165,6,,3.07E+13
323227,2018,35,S,8,2/4/2019,3/20/2019,165,6,,3.07E+13
323227,2018,35,S,8,5/15/2019,5/23/2019,165,6,,3.07E+13
323474,2018,25,,10,8/8/2018,11/8/2018,165,,,
324308,2017,28,S,10,8/9/2017,12/12/2017,165,,,
324308,2017,22,S,10,12/14/2017,3/5/2018,165,,,
325739,2018,35,,7,8/8/2018,2/21/2019,165,,,
325833,2017,37,,8,8/9/2017,10/6/2017,165,,,
326221,2017,35,H,8,10/5/2017,11/2/2017,165,6,,3.07E+13
326793,2018,27,,10,8/8/2018,11/28/2018,165,,,
327059,2017,25,,11,8/9/2017,10/4/2017,165,,,
327654,2018,40,,7,9/17/2018,12/14/2018,165,,,
328230,2018,25,,10,8/8/2018,11/16/2018,165,,,
329254,2017,24,,9,8/9/2017,10/20/2017,165,,,
329337,2018,40,,8,8/8/2018,4/5/2019,165,,,
329363,2018,40,,7,8/8/2018,9/13/2018,165,I,,
329407,2017,28,,10,8/9/2017,1/22/2018,165,I,,
329544,2017,38,,8,8/9/2017,9/15/2017,165,,,
329685,2017,24,,9,8/9/2017,2/5/2018,165,I,,
329766,2018,37,,8,8/8/2018,4/5/2019,165,,,
331817,2017,25,,11,8/21/2017,1/22/2018,165,,,
331818,2018,40,,7,8/8/2018,3/27/2019,165,,,
332081,2018,68,H,11,11/26/2018,3/26/2019,165,,,
332954,2017,35,,7,11/30/2017,12/19/2017,165,I,,
333239,2017,68,,11,1/17/2018,4/27/2018,165,I,,3.07E+13
334853,2018,22,,9,8/8/2018,3/1/2019,165,,,
334907,2018,40,,8,8/8/2018,9/21/2018,165,,,
335821,2017,40,,8,8/9/2017,11/14/2017,165,O,,3.07E+13
336330,2018,35,,8,8/8/2018,9/19/2018,165,,,
338075,2018,25,,10,8/8/2018,11/7/2018,165,,,
338161,2018,35,,8,8/8/2018,1/31/2019,165,,,
339726,2018,37,,8,8/8/2018,8/30/2018,165,,,
339912,2017,20,,9,8/14/2017,10/3/2017,165,,,
340331,2018,22,,10,8/8/2018,2/8/2019,165,,,
340470,2018,22,,9,8/8/2018,12/7/2018,165,,,
340971,2018,20,,10,8/8/2018,1/15/2019,165,,,
341127,2017,40,,8,8/9/2017,3/9/2018,165,1,,3066647
341158,2017,38,,8,8/9/2017,11/14/2017,165,I,,
341547,2018,35,,8,8/22/2018,5/23/2019,165,,,
342529,2018,31,,8,8/8/2018,11/9/2018,165,I,,
342705,2018,31,,8,8/8/2018,2/15/2019,165,O,,
342875,2017,38,,8,8/9/2017,11/3/2017,165,,,
342889,2017,24,,9,8/9/2017,1/24/2018,165,,,
342889,2018,22,,10,2/20/2019,2/27/2019,165,,,
343926,2017,24,S,9,8/9/2017,4/10/2018,165,,,
344064,2018,25,,9,8/8/2018,2/7/2019,165,,,
344566,2017,28,,10,8/9/2017,11/16/2017,165,,,
347250,2018,25,,12,9/11/2018,10/2/2018,165,I,,
347369,2018,35,,8,8/8/2018,1/30/2019,165,,,
347780,2018,25,,10,8/8/2018,3/8/2019,165,,,
347832,2018,68,,10,1/9/2019,3/1/2019,165,,,
348183,2018,25,,10,8/8/2018,9/14/2018,165,,,
349457,2018,35,,7,8/8/2018,4/3/2019,165,,,
349665,2018,25,S,11,2/21/2019,4/10/2019,165,,,
350488,2017,40,,7,8/9/2017,11/29/2017,165,O,,3.07E+13
350731,2017,28,S,10,8/9/2017,12/1/2017,165,,,
350755,2018,31,,7,8/8/2018,11/8/2018,165,,,
351482,2018,31,,8,8/23/2018,1/30/2019,165,I,,3.07E+13
352674,2017,20,,10,8/9/2017,3/23/2018,165,,,
354430,2017,25,,10,8/9/2017,8/24/2017,165,,,
355671,2017,40,,8,8/9/2017,10/25/2017,165,O,,3.07E+13
356296,2018,28,,12,8/8/2018,1/17/2019,165,,,
356386,2018,22,,10,8/8/2018,2/19/2019,165,,,
356820,2017,37,,8,8/9/2017,8/28/2017,165,,,
356820,2017,35,,8,8/29/2017,10/13/2017,165,I,,
