NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
319929,2017,681,S,12,42956,43091,400,,,
301759,2018,61,I,12,43320,43553,400,,,
304396,2018,68,S,12,43472,43490,400,,,
307736,2017,23,H,11,43108,43137,400,,,
307943,2018,35,,8,43321,43608,400,,,
308630,2017,35,,7,42956,43136,400,,,
310449,2017,681,S,11,42956,43091,400,,,
310449,2018,68,S,11,43334,43433,400,,,
313118,2018,35,,7,43320,43608,400,,,
314389,2018,681,S,12,43356,43374,400,,,
314632,2018,35,,8,43320,43608,400,,,
314879,2018,68,S,12,43413,43482,400,,,
316445,2018,681,S,12,43320,43455,400,,,
316521,2017,23,,11,42979,43194,400,,,
316724,2018,68,,12,43320,43581,400,,,
317231,2018,22,,12,43472,43585,400,,,
317295,2018,68,,12,43320,43455,400,,,
317406,2018,23,,12,43320,43364,400,,,
318681,2018,68,S,12,43334,43396,400,,,
318871,2018,20,,11,43339,43363,400,,,
319843,2018,681,S,12,43320,43493,400,,,
319929,2018,681,S,12,43474,43518,400,,,
320598,2018,38,,7,43432,43434,400,,,
320920,2018,35,,8,43320,43608,400,,,
322565,2017,35,,7,42956,43244,400,,,
322727,2018,61,I,12,43347,43455,400,,,
323935,2018,35,,7,43320,43608,400,,,
324079,2018,20,,12,43320,43452,400,,,
325326,2017,20,,9,42964,43229,400,I,,
326868,2018,681,S,12,43320,43518,400,,,
327109,2018,68,S,12,43320,43333,400,,,
329823,2018,684,S,14,43320,43332,400,,,
333239,2018,68,S,12,43334,43376,400,I,,3.07E+13
333775,2018,22,,11,43320,43452,400,,,
336224,2018,68,,12,43326,43399,400,,,
339908,2018,271,I,12,43327,43566,400,,,
341128,2018,20,,12,43320,43368,400,,,
341406,2018,35,,8,43320,43608,400,,,
342875,2017,61,I,8,43047,43091,400,,,
344656,2018,35,,8,43320,43608,400,,,
346806,2018,251,I,12,43405,43553,400,,,
347259,2018,68,,11,43320,43574,400,,,
347758,2018,20,,11,43320,43328,400,,,
348717,2017,61,I,11,42956,43091,400,,,
348896,2018,35,,8,43320,43608,400,,,
349738,2017,35,,7,42956,43244,400,,,
352565,2017,35,,7,42956,43241,400,,,
357741,2018,25,S,12,43320,43328,400,,,
358263,2018,68,S,11,43320,43496,400,,,
361680,2018,35,,8,43320,43608,400,,,
362019,2017,68,,11,43018,43238,400,,,
363792,2018,681,S,12,43322,43570,400,,,
367576,2017,61,I,8,42984,43091,400,6,,3.07E+13
367970,2018,68,S,12,43347,43388,400,,,
371698,2018,23,,12,43320,43391,400,,,
371915,2018,38,,8,43587,43588,400,,,
373250,2018,68,S,12,43320,43399,400,,,
374309,2017,61,I,11,43038,43091,400,,,
376912,2018,164,S,14,43320,43368,400,,6926471,
377622,2018,681,S,12,43409,43518,400,,,
379859,2018,35,,8,43320,43608,400,,,
381973,2018,35,,7,43320,43608,400,,,
383299,2018,681,S,12,43332,43446,400,,,
386580,2018,68,,12,43320,43444,400,,,
387392,2017,201,I,11,42956,43244,400,,,
387643,2018,681,S,12,43329,43445,400,I,,
389818,2018,68,S,12,43326,43549,400,I,,3.07E+13
390081,2018,68,S,12,43320,43334,400,,,
391800,2018,68,S,12,43320,43529,400,,,
392014,2018,68,,12,43320,43455,400,,,
395729,2018,61,I,12,43320,43455,400,,,
395915,2018,35,,8,43332,43608,400,,,
399238,2018,21,S,14,43320,43347,400,,,
400035,2018,684,S,14,43472,43591,400,,,
402697,2018,68,,12,43320,43455,400,,,
410196,2018,68,S,12,43320,43602,400,,,
413704,2017,23,H,10,43066,43108,400,,,
414061,2018,684,S,14,43320,43333,400,,,
418047,2017,20,,11,43133,43195,400,,,
418107,2017,23,,11,42956,43244,400,,,
422265,2018,25,S,12,43320,43328,400,,,
428862,2017,61,I,11,43038,43091,400,,,
433665,2017,22,,11,43234,43244,400,,,
435233,2018,251,I,12,43320,43455,400,,,
436933,2017,35,,7,42958,43244,400,,,
437342,2018,68,S,10,43349,43473,400,O,,
437373,2017,68,,11,43108,43168,400,,,
439336,2018,35,,8,43320,43608,400,,,
442111,2017,61,I,8,43042,43091,400,,,
444875,2018,68,S,12,43327,43602,400,,,
448196,2018,211,I,12,43320,43455,400,,,
449714,2018,684,S,14,43320,43455,400,,,
471926,2018,271,I,12,43320,43455,400,,,
